sample_id,population_id,superpopulation,dataset,country,neural_ancestry
NA19393,LWK,African,kg,,African
NA19394,LWK,African,kg,,African
NA19395,LWK,African,kg,,African
NA19397,LWK,African,kg,,African
NA19399,LWK,African,kg,,African
NA19401,LWK,African,kg,,African
NA19403,LWK,African,kg,,African
NA19404,LWK,African,kg,,African
NA19428,LWK,African,kg,,African
NA19429,LWK,African,kg,,African
NA19430,LWK,African,kg,,African
NA19431,LWK,African,kg,,African
NA19434,LWK,African,kg,,African
NA19435,LWK,African,kg,,African
NA19436,LWK,African,kg,,African
NA19437,LWK,African,kg,,African
NA19438,LWK,African,kg,,African
NA19439,LWK,African,kg,,African
NA19440,LWK,African,kg,,African
NA19443,LWK,African,kg,,African
NA19445,LWK,African,kg,,African
NA19446,LWK,African,kg,,African
NA19448,LWK,African,kg,,African
NA19449,LWK,African,kg,,African
NA19451,LWK,African,kg,,African
NA19452,LWK,African,kg,,African
NA19454,LWK,African,kg,,African
NA19455,LWK,African,kg,,African
NA19456,LWK,African,kg,,African
NA19457,LWK,African,kg,,African
NA19461,LWK,African,kg,,African
NA19462,LWK,African,kg,,African
NA19463,LWK,African,kg,,African
NA19466,LWK,African,kg,,African
NA19467,LWK,African,kg,,African
NA19468,LWK,African,kg,,African
NA19471,LWK,African,kg,,African
NA19472,LWK,African,kg,,African
NA19473,LWK,African,kg,,African
NA19474,LWK,African,kg,,African
NA19475,LWK,African,kg,,African
NA19625,ASW,African,kg,,
NA19648,MXL,American,kg,,
NA19649,MXL,American,kg,,
NA19650,MXL,American,kg,,
NA19651,MXL,American,kg,,
NA19652,MXL,American,kg,,
NA19653,MXL,American,kg,,
NA19654,MXL,American,kg,,
NA19655,MXL,American,kg,,
NA19656,MXL,American,kg,,
NA19657,MXL,American,kg,,
NA19658,MXL,American,kg,,
NA19659,MXL,American,kg,,
NA19660,MXL,American,kg,,
NA19661,MXL,American,kg,,
NA19662,MXL,American,kg,,
NA19663,MXL,American,kg,,
NA19664,MXL,American,kg,,
NA19665,MXL,American,kg,,
NA19669,MXL,American,kg,,
NA19670,MXL,American,kg,,
NA19671,MXL,American,kg,,
NA19675,MXL,American,kg,,
NA19676,MXL,American,kg,,
NA19677,MXL,American,kg,,
NA19678,MXL,American,kg,,
NA19679,MXL,American,kg,,
NA19680,MXL,American,kg,,
NA19681,MXL,American,kg,,
NA19682,MXL,American,kg,,
NA19683,MXL,American,kg,,
NA19684,MXL,American,kg,,
NA19685,MXL,American,kg,,
NA19686,MXL,American,kg,,
NA19700,ASW,African,kg,,
NA19701,ASW,African,kg,,
NA19702,ASW,African,kg,,
NA19703,ASW,African,kg,,
NA19704,ASW,African,kg,,
NA19705,ASW,African,kg,,
NA19707,ASW,African,kg,,
NA19711,ASW,African,kg,,
NA19712,ASW,African,kg,,
NA19713,ASW,African,kg,,
NA19716,MXL,American,kg,,
NA19717,MXL,American,kg,,
NA19718,MXL,American,kg,,
NA19719,MXL,American,kg,,
NA19720,MXL,American,kg,,
NA19721,MXL,American,kg,,
NA19722,MXL,American,kg,,
NA19723,MXL,American,kg,,
NA19724,MXL,American,kg,,
NA19725,MXL,American,kg,,
NA19726,MXL,American,kg,,
NA19727,MXL,American,kg,,
NA19728,MXL,American,kg,,American
NA19729,MXL,American,kg,,American
NA19730,MXL,American,kg,,
NA19731,MXL,American,kg,,American
NA19732,MXL,American,kg,,American
NA19733,MXL,American,kg,,
NA19734,MXL,American,kg,,
NA19735,MXL,American,kg,,
NA19740,MXL,American,kg,,
NA19741,MXL,American,kg,,
NA19746,MXL,American,kg,,
NA19747,MXL,American,kg,,
NA19748,MXL,American,kg,,
NA19749,MXL,American,kg,,
NA19750,MXL,American,kg,,
