sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,East Asian,European,South Asian,max_ancestry,assigned_group
HG03235,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.007249,1e-05,0.177819,0.814912,0.814912,South Asian
HG03236,PJL,South Asian,kg,,,no,no,,,,,,,
HG03237,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.001106,1e-05,0.237194,0.761679,0.761679,South Asian
HG03238,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.002855,1e-05,0.273088,0.724037,0.724037,South Asian
HG03239,PJL,South Asian,kg,,,no,no,,,,,,,
HG03240,GWD,African,kg,,African,no,yes,0.999951,1e-05,1.9e-05,1e-05,1e-05,0.999951,African
HG03241,GWD,African,kg,,African,no,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03242,GWD,African,kg,,,no,no,,,,,,,
HG03246,GWD,African,kg,,African,no,yes,0.975968,1e-05,0.00197,0.022041,1e-05,0.975968,African
HG03247,GWD,African,kg,,African,no,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03248,GWD,African,kg,,,no,no,,,,,,,
HG03249,GWD,African,kg,,,no,yes,0.97198,1e-05,0.005643,0.022357,1e-05,0.97198,African
HG03250,GWD,African,kg,,,no,yes,0.978574,1e-05,0.003484,0.017922,1e-05,0.978574,African
HG03251,GWD,African,kg,,,no,no,,,,,,,
HG03258,GWD,African,kg,,African,no,yes,0.994815,1e-05,0.005148,1.7e-05,1e-05,0.994815,African
HG03259,GWD,African,kg,,African,no,yes,0.992578,1e-05,0.007392,1e-05,1e-05,0.992578,African
HG03260,GWD,African,kg,,,no,no,,,,,,,
HG03265,ESN,African,kg,,African,yes,yes,0.999956,1.4e-05,1e-05,1e-05,1e-05,0.999956,African
HG03267,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03268,ESN,African,kg,,African,yes,yes,0.999958,1e-05,1.2e-05,1e-05,1e-05,0.999958,African
HG03269,ESN,African,kg,,,yes,no,,,,,,,
HG03270,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03271,ESN,African,kg,,African,yes,yes,0.999957,1e-05,1e-05,1.3e-05,1e-05,0.999957,African
HG03272,ESN,African,kg,,,yes,no,,,,,,,
HG03279,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03280,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03291,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03294,ESN,African,kg,,African,yes,yes,0.999956,1e-05,1.4e-05,1e-05,1e-05,0.999956,African
HG03295,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03296,ESN,African,kg,,,yes,no,,,,,,,
HG03297,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03298,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03299,ESN,African,kg,,,yes,no,,,,,,,
HG03300,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03301,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03302,ESN,African,kg,,,yes,no,,,,,,,
