sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,European,max_ancestry,assigned_group
HG00867,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00879,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00881,CDX,East Asian,kg,,East Asian,yes,no,,,,,
HG00956,CDX,East Asian,kg,,East Asian,yes,yes,0.001369,0.998621,1e-05,0.998621,American
HG00978,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00982,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG01028,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG01029,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG01031,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG01046,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG01047,PUR,American,kg,,,no,yes,0.08505,0.062803,0.852147,0.852147,European
HG01048,PUR,American,kg,,,no,yes,0.116083,0.100568,0.783349,0.783349,European
HG01049,PUR,American,kg,,,no,yes,0.22024,0.107403,0.672357,0.672357,European
HG01050,PUR,American,kg,,,no,no,,,,,
HG01051,PUR,American,kg,,,no,yes,0.21573,0.143538,0.640732,0.640732,European
HG01052,PUR,American,kg,,,no,yes,0.227389,0.138966,0.633645,0.633645,European
HG01053,PUR,American,kg,,,no,no,,,,,
HG01054,PUR,American,kg,,,no,yes,0.058975,0.116621,0.824404,0.824404,European
HG01055,PUR,American,kg,,,no,yes,0.12281,0.083905,0.793285,0.793285,European
HG01056,PUR,American,kg,,,no,no,,,,,
HG01058,PUR,American,kg,,,no,yes,0.120431,0.119323,0.760245,0.760245,European
HG01060,PUR,American,kg,,,no,yes,0.086225,0.090705,0.82307,0.82307,European
HG01061,PUR,American,kg,,,no,yes,0.077237,0.103955,0.818808,0.818808,European
HG01062,PUR,American,kg,,,no,no,,,,,
HG01063,PUR,American,kg,,,no,yes,0.346922,0.102209,0.550869,0.550869,European
HG01064,PUR,American,kg,,,no,yes,0.174278,0.08959,0.736131,0.736131,European
HG01066,PUR,American,kg,,,no,yes,0.070554,0.097262,0.832183,0.832183,European
HG01067,PUR,American,kg,,,no,yes,0.077858,0.113355,0.808787,0.808787,European
HG01068,PUR,American,kg,,,no,no,,,,,
